"id","tags"
"1","subatomic-particles particle-spin"
"2","string-theory"
"3","representations vector-space"
"7","determinism"
"9","states hamilton principle"
"13","sound"
"15","string-theory experiment disprove"
"17","color black sunrise change night"
"19","collisions energy kinetic-energy"
"21","monte-carlo"
"24","bicycle cause leaning"
"26","electromagnetic-field velocity"
"27","mechanics interaction quantum-mechanics wavefunction measurement wave-function"
"29","average speed calculate"
"31","relativity theory"
"32",""
"35","energy repel magnets"
"37","real-world check"
"41","field mathematics field-theory theories"
"49","capacitive"
"52","magnets"
"62","circular"
"68","stress causes"
"71","phase explanation intuitive"
"72","therapy treatment cancer"
"73","equation physicists solution solutions equation-solutions yang-baxter"
"75","remember"
"78","neutrons repel"
"79","entanglement epr-experiments"
"83","light"
"85","proton neutron"
"89","relativity newton general field-equations gravity"
"90","pulsars neutron-stars"
"93","gauss imply charge-surface dimensions coulomb"
"94","polarization laser"
"95","concordance cosmology model standard"
"98","stability mass-energy isotope"
"100","process energy calculate fission"
"101","antiproton tevatron"
"102","force opposite centripetal-force force-opposite-direction gravity"
"111","classical-mechanics"
"115","problem phase-space mathematica hamiltonian"
"122","rest-mass"
"123","galaxy"
"127","answer-question tools question physics gnuplot"
"129","higgs-boson model implications standard"
"134","states deuterons quantum-states share neutrons quantum state-quantum"
"139",""
"141","temperature-pressure reference"
"142","water boiling water-molecules"
"145","water temperature-water temperature"
"147","concept imagine particles elementary-particles relates wave-function"
"156","lights"
"159","magnitude"
"160","mechanics"
"166","breakthrough energy technologies"
"167","strength magnetic earth-magnetic-field field magnetic-field earth estimate"
"168","process reversible equilibrium"
"173","acceleration quantity absolute"
"185","claim boson discovery"
"186","acceleration torque angular"
"191","magnetic mechanism"
"193","mathematical string-theory background"
"196","information causality violate transfer light-time time-light"
"197","force-particles question-force forces"
"198","elementary-particles particle state-particles"
"202","fourier transformation"
"208","distance gravitational-forces centripetal-forces earth"
"214","free-falling inside elevator"
"217","spaghetti"
"218","adults"
"222","physics calculations software"
"228","acceleration aerotrim rings point-mass human gyroscope"
"234","mathematics study physics student times"
"236","positronium particle-mass"
"237","volume shape irregular"
"239","float property allow objects"
"252","perturbation-theory problem field-theory many-body"
"257","energy-particle chain accelerator particle colliders"
"258","domino angle"
"268","water vegetation forces upwards"
"270","inside clothing outside"
"271","angularvelocity angular-velocity spinning"
"272","quantum-mechanics quantum-physics"
"286",""
"290","airplanes bernoulli-effect"
"296","energy conserved conservation-energy"
"300","models"
"303","water sound"
"304","explosion determines pitch"
"305","radiation intensity electrons photoelectric-effect"
"312","quantum-mechanics physics particle"
"317","quantum-mechanics wave-functions outcome measurement"
"321","centripetal force work-forces centripetal-force gravity"
"326","angular-momentum average torque"
"328",""
"331","precession period"
"335","electricity"
"339","transmission light reflection"
"340","peepholes"
"341","science computer physics"
"347",""
"353","chosen quantities mass-force"
"356","mass-earth earth measure"
"357","speed-light experiments speed light"
"361","question-times"
"363","relativity general"
"364","planet doughnut gravity shaped"
"370","degrees temperature billions"
"371","function solution times planet position exact"
"379","radiation compare optics vacuum"
"383","centrifugal-forces"
"384","definition impedance"
"386","eigenfunctions fourier-transform"
"387","mechanics space-time relativity general quantum quantum-theory"
"388","energy high-energy collisions advantages proton-proton mass-energy"
"389","positrons charge holes carriers"
"391","time-universe backwards antimatter"
"401","physics diagrams programs"
"408","black-holes blackholes"
"409","black-holes astronomers methods blackhole"
"414","physics theory"
"419","vector velocity field-question location magnetic-field"
"420","magnet force-gravity paperclip"
"425","black-body noise relationship johnson radiation thermal"
"426","gamma-rays reach surface high-energy"
"427","gravity gravitons gravity-forces curvature space"
"429","polarization light describe angle"
"433","function interferometry"
